price,make,model,year,mileage,color,vin,state,country
6300,toyota,cruiser,2008,274117,black,jtezu11f88k007763,new jersey,usa
2899,ford,se,2011,190552,silver,2fmdk3gc4bbb02217,tennessee,usa
5350,dodge,mpv,2018,39590,silver,3c4pdcgg5jt346413,georgia,usa
25000,ford,door,2014,64146,blue,1ftfw1et4efc23745,virginia,usa
27700,chevrolet,1500,2018,6654,red,3gcpcrec2jg473991,florida,usa
5700,dodge,mpv,2018,45561,white,2c4rdgeg9jr237989,texas,usa
7300,chevrolet,pk,2010,149050,black,1gcsksea1az121133,georgia,usa
13350,gmc,door,2017,23525,gray,1gks2gkc3hr326762,california,usa
14600,chevrolet,malibu,2018,9371,silver,1g1zd5st5jf191860,florida,usa
5250,ford,mpv,2017,63418,black,2fmpk3j92hbc12542,texas,usa
10400,dodge,coupe,2009,107856,orange,2b3lj54t49h509675,georgia,usa
12920,gmc,mpv,2017,39650,white,1gks2bkc6hr136280,california,usa
31900,chevrolet,1500,2018,22909,black,3gcukrec0jg176059,tennessee,usa
5430,chrysler,wagon,2017,138650,gray,2c4rc1cg5hr616095,texas,usa
20700,ford,door,2013,100757,black,1ftfw1et7dfa47790,virginia,usa
12710,gmc,door,2017,25747,white,1gks2gkc6hr328389,california,usa
5200,kia,forte,2018,46194,blue,3kpfk4a77je198723,north carolina,usa
16500,buick,encore,2018,20002,red,kl4cj1sb6jb688844,tennessee,usa
5210,ford,mpv,2017,35714,white,2fmpk3j95hbb73607,texas,usa
38100,ford,door,2013,54380,gray,1ft8w3dt5deb68569,virginia,usa
12520,gmc,door,2017,30114,white,1gks2gkcxhr328380,california,usa
7300,kia,forte,2018,38823,black,3kpfl4a79je272611,north carolina,usa
15000,chevrolet,door,2015,61578,black,2gnflhe33f6214023,ohio,usa
6180,ford,mpv,2017,46010,blue,2fmpk3j84hbc09276,texas,usa
20800,ford,door,2013,105510,silver,1ftfw1efxdfa01008,virginia,usa
11900,gmc,door,2017,28040,silver,1gks2gkc2hr327918,california,usa
21500,kia,sorento,2020,11451,blue,5xypg4a59lg616029,north carolina,usa
12000,buick,door,2014,31039,brown,1g4ps5sk1e4188639,ohio,usa
4190,ford,doors,2017,44174,white,1fadp5auxhl109013,texas,usa
13000,ford,chassis,2008,93698,white,1fdwf37r28eb95687,tennessee,usa
12710,gmc,door,2017,26364,silver,1gks2gkc6hr326335,california,usa
18500,infiniti,q70,2016,71967,gray,jn1by1ar7gm271292,new york,usa
29800,chevrolet,camaro,1973,46226,red,1q87t3n166389,pennsylvania,usa
5330,ford,mpv,2017,37792,no_color,2fmpk3j9xhbb56401,texas,usa
13000,ford,convertible,2003,58817,gray,1fahp60a63y107799,virginia,usa
11900,gmc,door,2017,27965,black,1gks2gkc2hr328793,california,usa
16600,mercedes-benz,vans,2016,110907,white,8btpe7dd4ge127040,new york,usa
19200,chevrolet,1500,2018,2430,white,1gcncneh5jz302471,tennessee,usa
7320,ford,mpv,2017,32366,gold,2fmpk4k96hbb16692,texas,usa
7000,ford,pk,2003,176567,white,1ftnx20p73ed69682,tennessee,usa
12710,gmc,door,2017,30049,white,1gks2gkc6hr325461,california,usa
16600,mercedes-benz,vans,2016,97983,white,wd4pe7dd1gp253504,new york,usa
30500,chevrolet,1500,2018,30442,red,3gcukrec4jg204915,tennessee,usa
6330,ford,mpv,2017,38123,red,2fmpk3j85hbb79415,texas,usa
